,target,fem,ment,phd,mar,kid5
0,3,0,7.9999986,1.38,1,2
1,0,0,6.9999995,4.29,0,0
2,4,0,47.0000076,3.8499999,0,0
3,1,0,19.0000019,3.5899999,1,1
4,1,0,0.0,1.8099999,1,0
5,1,0,6.0000005,3.5899999,1,1
6,0,0,9.999999,2.1199999,1,1
7,0,0,1.9999999,4.29,1,0
8,3,0,1.9999999,2.5799999,1,2
9,3,0,3.999999,1.8,1,1
10,1,0,0.0,4.29,1,2
11,0,0,3.0,2.76,1,1
12,1,0,9.999999,3.4100001,1,1
13,2,0,6.9999995,4.3400002,1,3
14,5,0,15.000001,3.8499999,1,2
15,2,0,1.9999999,2.0999999,1,0
16,2,0,13.0,4.29,1,0
17,1,0,15.000001,4.29,0,0
18,0,0,4.9999981,2.26,1,1
19,0,0,6.0000005,2.0999999,0,0
20,3,0,12.0,2.26,1,0
21,6,0,15.9999981,3.8499999,1,1
22,4,0,6.9999995,4.29,0,0
23,2,0,6.0000005,1.8,1,2
24,2,0,1.9999999,2.26,0,0
25,0,0,0.0,2.0999999,0,0
26,4,0,30.0000019,4.29,1,0
27,1,0,9.999999,4.29,1,2
28,1,0,1.9999999,2.0999999,1,0
29,7,0,0.9999999,3.5899999,1,0
30,2,0,3.0,3.4200001,1,1
31,2,0,9.999999,4.29,1,2
32,2,0,9.999999,4.29,0,0
33,0,0,0.9999999,3.3399999,1,2
34,0,0,1.9999999,4.29,0,0
35,1,0,10.9999971,4.29,1,0
36,4,0,4.9999981,3.6199999,1,0
37,1,0,0.0,4.29,1,3
38,1,0,3.999999,4.3400002,1,1
39,2,0,1.9999999,1.25,1,1
40,7,0,19.0000019,4.3400002,0,0
41,1,0,3.0,1.67,1,3
42,0,0,0.0,3.47,0,0
43,1,0,0.9999999,2.26,1,1
44,1,0,0.9999999,1.8,1,0
45,2,0,17.0,4.3400002,1,2
46,2,0,3.0,3.5899999,0,0
47,1,0,0.9999999,1.75,1,2
48,1,0,6.0000005,4.29,0,0
49,0,0,0.0,2.0999999,1,1
50,0,0,15.000001,4.29,1,2
52,2,0,26.9999981,3.3199999,1,2
53,2,0,4.9999981,4.3400002,1,0
54,4,0,6.9999995,3.4100001,0,0
55,1,0,0.0,4.29,1,0
56,2,0,10.9999971,3.1900001,1,0
58,1,0,3.999999,1.74,1,2
59,1,0,3.999999,2.76,0,0
60,7,0,26.9999981,3.5899999,1,1
61,4,0,9.999999,1.8099999,1,0
62,2,0,13.0,4.29,1,1
63,1,0,0.9999999,4.29,1,1
64,1,0,6.0000005,2.76,0,0
65,6,0,6.0000005,3.47,0,0
66,2,0,4.9999981,2.5,1,2
67,5,0,1.9999999,1.25,1,0
68,3,0,13.9999971,3.5899999,1,1
70,1,0,12.0,3.5899999,1,0
71,0,0,6.9999995,3.5899999,1,3
72,1,0,3.0,1.75,1,0
73,1,0,1.9999999,1.75,1,2
74,1,0,1.9999999,3.5899999,1,1
75,1,0,1.9999999,4.29,0,0
76,0,0,0.0,4.29,0,0
78,3,0,0.0,2.6099999,1,0
79,5,0,30.0000019,4.29,1,0
80,16,0,21.0,1.74,1,0
81,1,0,4.9999981,2.76,1,0
82,0,0,9.0,4.29,0,0
83,1,0,7.9999986,2.76,1,2
84,3,0,25.0,4.29,1,2
85,5,0,0.0,3.47,1,1
86,0,0,4.9999981,2.5799999,1,2
87,0,0,0.9999999,2.1400001,1,0
88,0,0,4.9999981,2.26,0,0
89,3,0,0.0,4.29,1,2
90,3,0,15.000001,4.29,1,0
91,3,0,30.0000019,4.29,0,0
92,0,0,1.9999999,2.2,1,0
93,3,0,6.0000005,1.8,1,2
94,1,0,0.0,2.0999999,1,2
95,1,0,13.0,4.29,1,1
97,0,0,12.0,2.0999999,1,1
98,2,0,30.0000019,4.29,1,2
99,1,0,4.9999981,1.8099999,1,1
100,1,0,9.999999,4.3400002,1,0
101,0,0,4.9999981,4.29,1,1
102,1,0,3.999999,2.5,1,2
103,4,0,13.0,2.05,1,2
104,3,0,7.9999986,3.47,1,0
105,1,0,6.0000005,2.6099999,1,1
106,1,0,6.0000005,4.29,1,2
107,2,0,25.0,4.29,0,0
108,2,0,1.9999999,4.29,1,1
109,6,0,9.0,4.3400002,1,0
111,2,0,3.0,2.76,1,0
112,0,0,1.9999999,4.29,1,2
113,1,0,0.0,2.5,1,0
114,5,0,6.0000005,4.3400002,1,0
115,2,0,7.9999986,2.76,1,1
116,2,0,9.999999,3.1900001,1,1
117,3,0,7.9999986,4.6199999,0,0
118,0,0,6.0000005,3.1500001,1,2
119,4,0,21.0,2.55,1,1
120,0,0,3.999999,1.52,1,0
121,4,0,1.9999999,1.72,1,2
122,2,0,0.9999999,1.78,1,1
123,1,0,17.0,2.8599999,1,1
124,0,0,30.0000019,4.6199999,1,2
125,1,0,4.9999981,4.1399999,0,0
126,6,0,13.0,2.96,1,1
127,1,0,10.9999971,2.55,1,0
128,0,0,19.0000019,2.21,1,1
129,3,0,4.9999981,3.0899999,1,0
130,4,0,66.0000076,4.54,1,2
131,3,0,0.0,1.78,1,0
132,0,0,3.0,2.21,1,3
133,1,0,3.0,2.3900001,1,1
134,0,0,0.0,2.96,1,0
135,0,0,7.9999986,2.51,1,1
136,2,0,0.0,1.97,1,2
137,0,0,4.9999981,4.1399999,0,0
138,4,0,29.0,4.25,1,1
139,0,0,10.9999971,2.8599999,1,2
