dteday,season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,target,count_lagged_week
2011-01-01,1,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16,
2011-01-01,1,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40,
2011-01-01,1,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32,
2011-01-01,1,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13,
2011-01-01,1,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1,
2011-01-01,1,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,
2011-01-01,1,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,
2011-01-01,1,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3,
2011-01-01,1,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8,
2011-01-01,1,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14,
2011-01-01,1,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36,
2011-01-01,1,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56,
2011-01-01,1,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84,
2011-01-01,1,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94,
2011-01-01,1,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106,
2011-01-01,1,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110,
2011-01-01,1,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93,
2011-01-01,1,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67,
2011-01-01,1,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35,
2011-01-01,1,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37,
2011-01-01,1,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36,
2011-01-01,1,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34,
2011-01-01,1,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28,
2011-01-01,1,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39,
2011-01-02,1,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17,
2011-01-02,1,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17,
2011-01-02,1,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9,
2011-01-02,1,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6,
2011-01-02,1,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3,
2011-01-02,1,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2,
2011-01-02,1,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1,
2011-01-02,1,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8,
2011-01-02,1,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20,
2011-01-02,1,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53,
2011-01-02,1,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70,
2011-01-02,1,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93,
2011-01-02,1,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75,
2011-01-02,1,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59,
2011-01-02,1,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74,
2011-01-02,1,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76,
2011-01-02,1,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65,
2011-01-02,1,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53,
2011-01-02,1,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30,
2011-01-02,1,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22,
2011-01-02,1,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31,
2011-01-02,1,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9,
2011-01-02,1,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8,
2011-01-03,1,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5,
2011-01-03,1,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2,
2011-01-03,1,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1,
2011-01-03,1,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3,
2011-01-03,1,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30,
2011-01-03,1,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64,
2011-01-03,1,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154,
2011-01-03,1,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88,
2011-01-03,1,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44,
2011-01-03,1,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51,
2011-01-03,1,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61,
2011-01-03,1,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61,
2011-01-03,1,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77,
2011-01-03,1,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72,
2011-01-03,1,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76,
2011-01-03,1,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157,
2011-01-03,1,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157,
2011-01-03,1,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110,
2011-01-03,1,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52,
2011-01-03,1,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52,
2011-01-03,1,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20,
2011-01-03,1,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12,
2011-01-04,1,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5,
2011-01-04,1,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2,
2011-01-04,1,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1,
2011-01-04,1,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2,
2011-01-04,1,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4,
2011-01-04,1,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36,
2011-01-04,1,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94,
2011-01-04,1,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179,
2011-01-04,1,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100,
2011-01-04,1,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42,
2011-01-04,1,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57,
2011-01-04,1,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78,
2011-01-04,1,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97,
2011-01-04,1,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63,
2011-01-04,1,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65,
2011-01-04,1,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83,
2011-01-04,1,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212,
2011-01-04,1,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182,
2011-01-04,1,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112,
2011-01-04,1,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54,
2011-01-04,1,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48,
2011-01-04,1,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35,
2011-01-04,1,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11,
2011-01-05,1,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6,
2011-01-05,1,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6,
2011-01-05,1,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2,
2011-01-05,1,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2,
2011-01-05,1,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3,
2011-01-05,1,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33,
2011-01-05,1,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88,
2011-01-05,1,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195,
2011-01-05,1,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115,
2011-01-05,1,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57,
2011-01-05,1,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46,
2011-01-05,1,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79,
2011-01-05,1,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71,
2011-01-05,1,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62,
2011-01-05,1,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62,
2011-01-05,1,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89,
2011-01-05,1,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190,
2011-01-05,1,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169,
2011-01-05,1,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132,
2011-01-05,1,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89,
2011-01-05,1,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43,
2011-01-05,1,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42,
2011-01-05,1,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19,
2011-01-06,1,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11,
2011-01-06,1,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4,
2011-01-06,1,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2,
2011-01-06,1,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1,
2011-01-06,1,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4,
2011-01-06,1,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36,
2011-01-06,1,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95,
2011-01-06,1,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219,
2011-01-06,1,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122,
2011-01-06,1,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45,
2011-01-06,1,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59,
2011-01-06,1,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84,
2011-01-06,1,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67,
2011-01-06,1,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70,
2011-01-06,1,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62,
2011-01-06,1,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86,
2011-01-06,1,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172,
